id,display_name,cluster,barrow_type,azimuth_display_deg,ridge_deg,downslope_deg,slope_deg,plane_rmse_m,delta_vs_ridge,delta_vs_downslope,delta_vs_midsummer,delta_vs_equinox,delta_vs_midwinter
SU14SE103,Southwest of Bulford,Stonehenge / Salisbury Plain,earthen,109.5,67.26,157.26,2.973,5.11,42.24,47.76,59.3,19.8,19.5
SU14SW102,Amesbury 42,Stonehenge / Salisbury Plain,earthen,5.0,179.67,89.67,0.788,2.225,5.33,84.67,45.2,84.7,56.0
ST94SW101,West Hill long barrow,Wiltshire chalk,earthen,163.0,156.18,246.18,3.328,8.75,6.82,83.18,67.2,73.3,34.0
SU14SW100,Knighton Down,Stonehenge / Salisbury Plain,earthen,136.5,154.83,64.83,0.875,3.502,18.33,71.67,86.3,46.8,7.5
ST84SE100,King Barrow,Wiltshire chalk,earthen,161.5,25.14,115.14,0.103,4.557,43.64,46.36,68.7,71.8,32.5
ST94SE100,Knock,Wiltshire chalk,earthen,47.5,138.53,48.53,0.885,4.064,88.97,1.03,2.7,42.2,81.5
SU14NW102,Knighton,Stonehenge / Salisbury Plain,earthen,88.5,15.6,105.6,0.494,3.972,72.9,17.1,38.3,1.2,40.5
MWI73372,Brigmerston Field,Stonehenge / Salisbury Plain,earthen,157.0,162.95,72.95,2.15,3.096,5.95,84.05,73.2,67.3,28.0
SU14NW108,South of Robin Hood Ball Clump,Stonehenge / Salisbury Plain,earthen,132.0,80.9,350.9,0.318,2.698,51.1,38.9,81.8,42.3,3.0
ST94NW102,Norton Down long barrow,Wiltshire chalk,earthen,100.5,112.02,22.02,3.226,9.875,11.52,78.48,50.3,10.8,28.5
ST94NW101,Middleton Down long barrow,Wiltshire chalk,earthen,126.0,128.16,38.16,3.622,12.612,2.16,87.84,75.8,36.3,3.0
SU14NE101,North of Milston Firs,Stonehenge / Salisbury Plain,earthen,32.0,162.7,252.7,2.024,4.031,49.3,40.7,18.2,57.7,83.0
SU24NW102,SU24NW102,Stonehenge / Salisbury Plain,earthen,71.0,91.62,1.62,1.889,3.461,20.62,69.38,20.8,18.7,58.0
SU24NW101,SU24NW101,Stonehenge / Salisbury Plain,earthen,67.5,90.43,0.43,2.407,2.909,22.93,67.07,17.3,22.2,61.5
SU14NW110,North of Robin Hood Ball Clump,Stonehenge / Salisbury Plain,earthen,100.5,114.58,204.58,0.244,3.38,14.08,75.92,50.3,10.8,28.5
SU14NW103,Northeast of Robin Hood Ball Clump,Stonehenge / Salisbury Plain,earthen,157.5,37.4,307.4,1.841,1.488,59.9,30.1,72.7,67.8,28.5
ST94NW100,Bowls,Wiltshire chalk,earthen,88.5,95.88,5.88,0.755,5.145,7.38,82.62,38.3,1.2,40.5
SU04NW101,Tilshead Down,Stonehenge / Salisbury Plain,earthen,65.0,134.27,224.27,2.1,5.38,69.27,20.73,14.8,24.7,64.0
SU04NW100,Whitebarrow,Stonehenge / Salisbury Plain,earthen,91.7,96.71,186.71,1.899,5.571,5.01,84.99,41.5,2.0,37.3
SU14NW104,Northeast of Robin Hood Ball Clump 2,Stonehenge / Salisbury Plain,earthen,64.0,8.62,278.62,0.84,3.433,55.38,34.62,13.8,25.7,65.0
ST84NE100,Colloway Clump long barrow,Wiltshire chalk,earthen,16.0,24.67,114.67,5.785,12.211,8.67,81.33,34.2,73.7,67.0
ST94NW103,Oxendean Down long barrow,Wiltshire chalk,earthen,109.7,125.08,35.08,4.764,13.53,15.38,74.62,59.5,20.0,19.3
SU04NW102,Northwest of Tilshead Lodge,Stonehenge / Salisbury Plain,earthen,89.0,44.86,314.86,1.478,4.207,44.14,45.86,38.8,0.7,40.0
SU04NW103,Kill,Stonehenge / Salisbury Plain,earthen,140.5,123.97,213.97,0.953,2.727,16.53,73.47,89.7,50.8,11.5
ST94NE100,Long barrow south-west of Imber,Wiltshire chalk,earthen,143.0,136.44,226.44,1.611,5.296,6.56,83.44,87.2,53.3,14.0
SU14NE100,Sheer Barrow,Stonehenge / Salisbury Plain,earthen,67.5,53.46,323.46,1.458,3.207,14.04,75.96,17.3,22.2,61.5
SU04NE100,East Down,Stonehenge / Salisbury Plain,earthen,120.5,123.07,33.07,1.288,3.999,2.57,87.43,70.3,30.8,8.5
SU05SE100,Ell Barrow,Stonehenge / Salisbury Plain,earthen,74.0,139.15,49.15,0.555,3.241,65.15,24.85,23.8,15.7,55.0
ST95SW100,ST95SW100,Wiltshire chalk,earthen,92.0,75.08,165.08,8.865,17.825,16.92,73.08,41.8,2.3,37.0
SU15SE100,Southeast of Comesdeane Well,Stonehenge / Salisbury Plain,earthen,16.5,164.7,74.7,2.287,3.257,31.8,58.2,33.7,73.2,67.5
ST95SW102,"Long barrow, Tinhead Hill",Wiltshire chalk,earthen,64.3,30.5,120.5,3.142,4.768,33.8,56.2,14.1,25.4,64.7
SU25NE103,SU25NE103,North Wiltshire chalk,earthen,76.0,56.71,146.71,5.629,11.516,19.29,70.71,25.8,13.7,53.0
SU25NE102,SU25NE102,North Wiltshire chalk,earthen,167.0,121.14,211.14,4.751,9.465,45.86,44.14,63.2,77.3,38.0
SU25NE101,Tow,North Wiltshire chalk,earthen,11.5,6.77,96.77,4.832,5.78,4.73,85.27,38.7,78.2,62.5
SU25NE100,SU25NE100,North Wiltshire chalk,earthen,173.0,7.64,97.64,4.501,9.616,14.64,75.36,57.2,83.3,44.0
SU16SW102,Adam's Grave,Avebury / Pewsey,cotswold_severn,136.0,81.01,351.01,4.722,16.649,54.99,35.01,85.8,46.3,7.0
SU06SE101,Kitchen,Avebury / Pewsey,earthen,43.5,103.67,13.67,5.959,9.818,60.17,29.83,6.7,46.2,85.5
SU16NE102,West Woods,Avebury / Pewsey,earthen,90.0,173.87,263.87,1.298,3.221,83.87,6.13,39.8,0.3,39.0
SU06NE115,Horton Down,Avebury / Pewsey,earthen,97.7,5.57,95.57,0.966,4.019,87.87,2.13,47.5,8.0,31.3
SU06NW107,Kings Play Hill,Avebury / Pewsey,earthen,43.5,53.11,143.11,2.626,15.754,9.61,80.39,6.7,46.2,85.5
SU06NE106,Easton Down,Avebury / Pewsey,earthen,76.5,50.24,140.24,1.977,5.655,26.26,63.74,26.3,13.2,52.5
SU16NW101,East Kennet,Avebury / Pewsey,cotswold_severn,139.0,131.75,221.75,3.644,6.356,7.25,82.75,88.8,49.3,10.0
SU06NE108,Beckhampton Road,Avebury / Pewsey,earthen,53.3,73.98,163.98,0.253,4.228,20.68,69.32,3.1,36.4,75.7
SU16NW100,West Kennet,Avebury / Pewsey,cotswold_severn,84.5,158.51,248.51,2.424,5.819,74.01,15.99,34.3,5.2,44.5
SU06NE107,Long Stones,Avebury / Pewsey,earthen,48.5,56.65,326.65,1.011,3.561,8.15,81.85,1.7,41.2,80.5
SU06NE105,South Street,Avebury / Pewsey,earthen,68.9,34.54,124.54,1.104,3.842,34.36,55.64,18.7,20.8,60.1
SU06NW105,Oldbury,Avebury / Pewsey,earthen,88.0,17.99,107.99,5.688,18.387,70.01,19.99,37.8,1.7,41.0
ST87SE101,Lanhill Barrow: a long barrow 300m south of Sparrow Farm,North Wiltshire chalk,cotswold_severn,90.5,130.98,220.98,0.416,3.864,40.48,49.52,40.3,0.8,38.5
ST77NE100,Long barrow 400m north-west of Fox Covert,North Wiltshire chalk,earthen,36.5,101.91,191.91,0.921,2.742,65.41,24.59,13.7,53.2,87.5
ST87NW100,Long barrow 500m north of Lugbury Farm,North Wiltshire chalk,cotswold_severn,93.5,131.9,221.9,0.46,1.241,38.4,51.6,43.3,3.8,35.5
SU27NW103,SU27NW103,North Wiltshire chalk,earthen,139.0,25.38,295.38,1.324,7.633,66.38,23.62,88.8,49.3,10.0
ST88SW101,Long barrow 600m north of Hebden Farm,North Wiltshire chalk,earthen,143.5,108.78,198.78,0.732,2.576,34.72,55.28,86.7,53.8,14.5
NHLE1010394,Giant's Cave: a chambered long barrow 750m south west of Allengrove Farm,North Wiltshire chalk,cotswold_severn,99.5,48.12,318.12,0.254,3.525,51.38,38.62,49.3,9.8,29.5
SU13SE108,SU13SE108,Stonehenge / Salisbury Plain,earthen,148.0,36.81,306.81,2.898,7.035,68.81,21.19,82.2,58.3,19.0
SU23SW600,SU23SW600,Stonehenge / Salisbury Plain,earthen,156.0,21.57,291.57,0.87,7.73,45.57,44.43,74.2,66.3,27.0
SU13SE604,'Ende Burgh' long barrow,Stonehenge / Salisbury Plain,earthen,23.5,69.87,339.87,0.938,2.084,46.37,43.63,26.7,66.2,74.5
ST94SW103,Long barrow 250m east of Polebridge Farm,Wiltshire chalk,earthen,51.5,135.27,225.27,0.513,0.643,83.77,6.23,1.3,38.2,77.5
SU14SW11B,North of West Amesbury,Stonehenge / Salisbury Plain,earthen,157.5,30.14,300.14,2.181,5.022,52.64,37.36,72.7,67.8,28.5
SU14SE600,South of Woodhenge,Stonehenge / Salisbury Plain,earthen,109.5,7.01,277.01,2.303,6.74,77.51,12.49,59.3,19.8,19.5
SU24NW629,SU24NW629,Stonehenge / Salisbury Plain,earthen,143.0,17.24,107.24,2.732,3.816,54.24,35.76,87.2,53.3,14.0
SU24NW678,SU24NW678,Stonehenge / Salisbury Plain,earthen,118.0,147.0,57.0,1.808,1.752,29.0,61.0,67.8,28.3,11.0
SU26NE100,SU26NE100,North Wiltshire chalk,earthen,36.5,7.31,277.31,1.457,3.469,29.19,60.81,13.7,53.2,87.5
SU06NW106,West of Oldbury,Avebury / Pewsey,earthen,99.5,22.71,112.71,3.53,18.788,76.79,13.21,49.3,9.8,29.5
ST98NW635,ST98NW635,North Wiltshire chalk,earthen,18.0,37.24,127.24,0.518,1.663,19.24,70.76,32.2,71.7,69.0
