id,name,prefer,azimuth_eye_deg,azimuth_display_deg,azimuth_display_source,nhle_az,lidar_az,note
SU14NW110,North of Robin Hood Ball Clump,eye,100.5,100.5,eye,178.9,,
SU14SE103,Southwest of Bulford,eye,109.5,109.5,eye,100.2,,
SU14SE600,South of Woodhenge,eye,109.5,109.5,eye,,,
SU14SW100,Knighton Down,eye,136.5,136.5,eye,129.8,,
SU14SW102,Amesbury 42,eye,5.0,5.0,eye,,9.5,
SU14SW105,West of Stonehenge,leave_indistinct,,,,,,left indistinct after human review
SU14SW10W,South of Fargo Road,eye,174.5,174.5,eye,,,
SU14SW11B,North of West Amesbury,eye,91.0,91.0,eye,,,
SU14SW125,Winterbourne Stoke Crossroads,eye,35.0,35.0,eye,34.1,34.9,
SU14SW126,Wilsford Down,lidar,,60.2,lidar,2.6,60.2,
SU14SW127,North of Normanton Gorse,leave_indistinct,,,,142.1,,left indistinct after human review
SU14SW128,Normanton Down,eye,21.5,21.5,eye,105.5,,
SU14SW129,Normanton Down 2,eye,89.0,89.0,eye,66.8,43.2,
SU14SW133,Lake Group,eye,111.0,111.0,eye,,113.2,
SU14SW654,SU14SW654,leave_indistinct,,,,,,left indistinct after human review
SU14SW997,South-southeast of Longbarrow Crossroads,leave_indistinct,,,,63.1,,left indistinct after human review
SU15NW614,Cat's Brain,not_barrow,,,,,116.9,no usable barrow axis / not a clear long barrow on chip
SU15SE100,Southeast of Comesdeane Well,eye,16.5,16.5,eye,,28.9,
SU15SE152198,SU15SE152198,not_barrow,,,,,50.3,no usable barrow axis / not a clear long barrow on chip
SU16NE102,West Woods,eye,90.0,90.0,eye,174.4,,
SU16NE648,SU16NE648,not_barrow,,,,,92.8,no usable barrow axis / not a clear long barrow on chip
SU16NW100,West Kennet,eye,84.5,84.5,eye,85.2,84.4,
SU16NW101,East Kennet,eye,139.0,139.0,eye,146.1,,
SU16NW133,White Hill,not_barrow,,,,,69.8,no usable barrow axis / not a clear long barrow on chip
SU16NW656,SU16NW656,leave_indistinct,,,,,,left indistinct after human review
SU16SW102,Adam's Grave,eye,136.0,136.0,eye,116.7,,
SU17SW101,Temple Bottom,leave_indistinct,,,,,,left indistinct after human review
SU17SW110,SU17SW110,not_barrow,,,,,,no usable barrow axis / not a clear long barrow on chip
SU17SW111,Manton Down,leave_indistinct,,,,,,left indistinct after human review
SU23SW100,SU23SW100,eye,20.5,20.5,eye,,43.3,
SU23SW101,SU23SW101,not_barrow,,,,,62.8,no usable barrow axis / not a clear long barrow on chip
SU23SW600,SU23SW600,eye,156.0,156.0,eye,,7.5,
SU24NW101,SU24NW101,eye,67.5,67.5,eye,,,
SU24NW102,SU24NW102,eye,71.0,71.0,eye,,69.6,
SU24NW629,SU24NW629,eye,143.0,143.0,eye,,,
SU24NW678,SU24NW678,eye,118.0,118.0,eye,,,
SU25NE100,SU25NE100,eye,173.0,173.0,eye,,172.9,
SU25NE101,Tow,eye,11.5,11.5,eye,,,
SU25NE102,SU25NE102,eye,167.0,167.0,eye,,167.0,
SU25NE103,SU25NE103,eye,76.0,76.0,eye,,75.9,
SU25NE104,SU25NE104,not_barrow,,,,,55.9,no usable barrow axis / not a clear long barrow on chip
SU25SE100,SU25SE100,not_barrow,,,,,73.4,no usable barrow axis / not a clear long barrow on chip
SU25SW781,SU25SW781,not_barrow,,,,,,no usable barrow axis / not a clear long barrow on chip
SU26NE100,SU26NE100,eye,36.5,36.5,eye,,,
SU27NW103,SU27NW103,eye,139.0,139.0,eye,,,
SU27SE101,SU27SE101,leave_indistinct,,,,,,left indistinct after human review
